序号,电影名,评分,主演,上映时间
1,我不是药神,9.6,"徐峥,王传君,周一围",2018-07-05
2,肖申克的救赎,9.5,"蒂姆·罗宾斯,摩根·弗里曼,鲍勃·冈顿",1994-09-10(加拿大)
3,海上钢琴师,9.3,"蒂姆·罗斯,比尔·努恩 ,克兰伦斯·威廉姆斯三世",2019-11-15
4,绿皮书,9.5,"维果·莫腾森,马赫沙拉·阿里,琳达·卡德里尼",2019-03-01
5,霸王别姬,9.4,"张国荣,张丰毅,巩俐",1993-07-26
6,美丽人生,9.3,"罗伯托·贝尼尼,朱斯蒂诺·杜拉诺,赛尔乔·比尼·布斯特里克",2020-01-03
7,这个杀手不太冷,9.5,"让·雷诺,娜塔莉·波特曼,加里·奥德曼",2024-11-01
8,星际穿越,9.3,"马修·麦康纳,安妮·海瑟薇,杰西卡·查斯坦",2014-11-12
9,泰坦尼克号,9.6,"莱昂纳多·迪卡普里奥,凯特·温丝莱特,比利·赞恩",1998-04-03
10,盗梦空间,9.0,"莱昂纳多·迪卡普里奥,渡边谦,约瑟夫·高登-莱维特",2010-09-01
11,怦然心动,8.9,"玛德琳·卡罗尔,卡兰·麦克奥利菲,艾丹·奎因",2010-07-26(美国)
12,小偷家族,8.1,"中川雅也,安藤樱,松冈茉优",2018-08-03
13,阿甘正传,9.4,"汤姆·汉克斯,罗宾·怀特,加里·西尼斯",1994-07-06(美国)
14,楚门的世界,8.9,"金·凯瑞,劳拉·琳妮,诺亚·艾默里奇",1998(罗马尼亚)
15,千与千寻,9.3,"柊瑠美,周冬雨,井柏然",2019-06-21
16,寻梦环游记,9.6,"安东尼·冈萨雷斯,本杰明·布拉特,盖尔·加西亚·贝纳尔",2017-11-24
17,情书,8.9,"中山美穗,丰川悦司,酒井美纪",1999-03-01
18,触不可及,9.1,"弗朗索瓦·克鲁塞,奥马·希,安娜·勒尼",2011-11-02(法国)
19,辛德勒的名单,9.2,"连姆·尼森,拉尔夫·费因斯,本·金斯利",1993-11-30(美国)
20,哪吒之魔童降世,9.6,"吕艳婷,囧森瑟夫,瀚墨",2019-07-26
